family,m,n,instance,best_known,best_known_exact,layers,two_qubit,one_qubit,num_params,init,optimizer,lr,steps,function_evals,circuit_equiv,cut_raw,cut_ls,ratio_raw,ratio_ls,final_loss,seconds
reg3,60,6,reg3_m60_s1,81.0,True,12,30,72,162,0,adam,0.01,1122,1122,364650,79.0,79.0,0.9753086419753086,0.9753086419753086,-55.99136902849194,144.62555409999914
reg3,60,6,reg3_m60_s1,81.0,True,12,30,72,162,1,adam,0.01,1941,1941,630825,77.0,77.0,0.9506172839506173,0.9506172839506173,-49.52429913466347,247.08416820000275
reg3,104,7,reg3_m104_s0,142.0,True,2,6,14,32,0,adam,0.01,880,880,57200,110.0,130.0,0.7746478873239436,0.9154929577464789,-40.66740067085049,26.7275083999848
reg3,104,7,reg3_m104_s0,142.0,True,2,6,14,32,1,adam,0.01,775,775,50375,106.0,129.0,0.7464788732394366,0.9084507042253521,-40.37234922632275,22.792709699977422
reg3,104,7,reg3_m104_s0,142.0,True,4,12,28,64,0,adam,0.01,1205,1205,155445,118.0,126.0,0.8309859154929577,0.8873239436619719,-52.075517935806026,65.0614462000085
reg3,104,7,reg3_m104_s0,142.0,True,4,12,28,64,1,adam,0.01,1720,1720,221880,115.0,128.0,0.8098591549295775,0.9014084507042254,-50.06923688547331,93.261768700002
reg3,104,7,reg3_m104_s0,142.0,True,8,24,56,128,0,adam,0.01,2028,2028,521196,133.0,136.0,0.9366197183098591,0.9577464788732394,-80.01421581190228,208.18001750000985
reg3,104,7,reg3_m104_s0,142.0,True,8,24,56,128,1,adam,0.01,2118,2118,544326,128.0,133.0,0.9014084507042254,0.9366197183098591,-71.91327865571874,221.21749010001076
reg3,104,7,reg3_m104_s0,142.0,True,12,36,84,192,0,adam,0.01,1861,1861,716485,137.0,137.0,0.9647887323943662,0.9647887323943662,-83.01484826057008,298.8161351000017
reg3,104,7,reg3_m104_s0,142.0,True,12,36,84,192,1,adam,0.01,2243,2243,863555,133.0,133.0,0.9366197183098591,0.9366197183098591,-81.76437440754782,2694.7463466000045
reg3,104,7,reg3_m104_s1,144.0,True,2,6,14,32,0,adam,0.01,547,547,35555,103.0,126.0,0.7152777777777778,0.875,-38.89386643733055,16.401519800012466
reg3,104,7,reg3_m104_s1,144.0,True,2,6,14,32,1,adam,0.01,795,795,51675,101.0,126.0,0.7013888888888888,0.875,-36.044089304858176,24.251764699991327
reg3,104,7,reg3_m104_s1,144.0,True,4,12,28,64,0,adam,0.01,1135,1135,146415,114.0,134.0,0.7916666666666666,0.9305555555555556,-47.38807483375674,64.8189779999957
reg3,104,7,reg3_m104_s1,144.0,True,4,12,28,64,1,adam,0.01,1948,1948,251292,120.0,131.0,0.8333333333333334,0.9097222222222222,-47.28644101784144,117.56653209999786
reg3,104,7,reg3_m104_s1,144.0,True,8,24,56,128,0,adam,0.01,3000,3000,771000,130.0,131.0,0.9027777777777778,0.9097222222222222,-72.40075247756008,294.44008739999845
reg3,104,7,reg3_m104_s1,144.0,True,8,24,56,128,1,adam,0.01,2194,2194,563858,126.0,130.0,0.875,0.9027777777777778,-72.88056810722613,172.28924959999858
reg3,104,7,reg3_m104_s1,144.0,True,12,36,84,192,0,adam,0.01,2071,2071,797335,133.0,135.0,0.9236111111111112,0.9375,-80.70467535182189,228.39956099999836
reg3,104,7,reg3_m104_s1,144.0,True,12,36,84,192,1,adam,0.01,2235,2235,860475,136.0,137.0,0.9444444444444444,0.9513888888888888,-83.95494927130275,4811.834429500013
reg3,168,8,reg3_m168_s0,229.0,False,2,7,16,37,0,adam,0.01,554,554,41550,171.0,206.0,0.7467248908296943,0.8995633187772926,-59.63815946320064,14.19056429999182
reg3,168,8,reg3_m168_s0,229.0,False,2,7,16,37,1,adam,0.01,1467,1467,110025,159.0,219.0,0.6943231441048034,0.9563318777292577,-50.853420092905765,38.9185249999864
reg3,168,8,reg3_m168_s0,229.0,False,4,14,32,74,0,adam,0.01,1551,1551,231099,183.0,209.0,0.7991266375545851,0.9126637554585153,-77.93133554098519,80.04517299999134
reg3,168,8,reg3_m168_s0,229.0,False,4,14,32,74,1,adam,0.01,1001,1001,149149,184.0,217.0,0.8034934497816594,0.9475982532751092,-76.48420270687033,61.352899399993476
reg3,168,8,reg3_m168_s0,229.0,False,8,28,64,148,0,adam,0.01,1560,1560,463320,204.0,216.0,0.8908296943231441,0.9432314410480349,-97.57980735001611,169.91584550001426
reg3,168,8,reg3_m168_s0,229.0,False,8,28,64,148,1,adam,0.01,1631,1631,484407,203.0,213.0,0.8864628820960698,0.9301310043668122,-105.69238975201615,179.6262044000032
